"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",25,1.23462456398017,66.79,8.2263,5.5639,94100,0,1.83982683982684,0.0218490967056324,86.4,0.340208936081904,0.0557263941723997,110
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",26,3.97007527079126,77.47,10.6765,3.5529,146400,0.273972602739726,0.75705437026841,0.0410860655737706,53.8,0.247056810613358,0.0348063710681437,88
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",27,8.86175876629337,95.69,3.9167,4.5629,333300,1.27620783956244,12.7155901251268,0.0577707770777078,37.8,0.0565104174696519,0.0342977974683583,49
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK","""Oklahoma City, OK""",28,6.84046263998531,90.06,3.0068,1.3242,123700,0.32441200324412,3.25542570951586,0.0208245755860954,69,0.0918648920415912,0.029188475348818,76
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",29,8.01817514228016,88.57,2.3976,1.4877,137100,-0.0728862973760933,6.27906976744186,0.0292268417213712,1.7,0.120740731373545,0.0229228505322335,63.5
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",30,1.64494217000184,81.01,,,168200,-0.118764845605701,0,0.0256539833531511,35,0.212294476750352,0.0562051332198466,87
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",31,4.55204699834771,80.91,9.7711,4.1204,186400,0.322927879440258,6.39269406392694,0.034307939914163,68.6,0.201081026080864,0.0355570322178011,73
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",32,5.39930236827611,85.97,8.7279,3.3631,278600,0.65028901734104,9.68503937007874,0.0562706389088299,74.9,0.173825144417674,0.032815658347743,57
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",33,6.64769597943822,83.49,6.9843,3.4168,194600,0.985988583290088,7.99112097669256,0.0377081192189106,69.2,0.171537467019377,0.0225092710598261,62
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",34,4.77418762621627,90.16,6.0463,1.5817,490700,0.491501126356748,3.45772717689226,0.010811086203383,100.3,0.0929015445374377,0.0368117508406816,66
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",35,3.42390306590784,75.71,,,104900,0.382775119617225,5.53319919517103,0.030047664442326,74.9,0.227890619219604,0.0264659317452953,83
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",36,2.18377088305489,77.66,9.8745,4.1381,247600,0.121310149615851,1.89300411522634,0.00677302100161548,34.6,0.196407083671553,0.027895520326242,83
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",37,6.96530200110152,88.24,4.0548,2.934,217000,0.556070435588508,5.85365853658537,0.033926267281106,61.1,0.125032785699634,0.0167854108984521,64
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",38,5.77565632458234,79.44,,,179000,1.01580135440181,11.2492231199503,0.0592067039106146,68.3,0.237717285077329,0.0362678301961906,80.5
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",39,2.25995961079493,88.19,,,284900,0.458392101551481,7.2261949567181,-0.00916461916461919,123.2,0.181291490124528,0.0906764887792122,116
